epoch,filter_index,l2,delta_l2
8,54,0.833276,0.019108
8,55,0.806610,0.016927
8,56,0.816480,0.018018
8,57,0.821374,0.009213
8,58,0.771890,0.018568
8,59,0.802817,0.017436
8,60,0.850869,0.009452
8,61,0.805462,0.017958
8,62,0.859569,0.011446
8,63,0.838858,0.018789
8,64,0.842854,0.015023
8,65,0.880955,0.015939
8,66,0.857884,0.017126
8,67,0.878544,0.015733
8,68,0.828913,0.014121
8,69,0.826405,0.018086
8,70,0.853404,0.011455
8,71,0.858415,0.015767
8,72,0.842681,0.017662
8,73,0.795983,0.016477
8,74,0.836443,0.012167
8,75,0.823793,0.011033
8,76,0.856661,0.009315
8,77,0.817929,0.010453
8,78,0.842555,0.008107
8,79,0.784712,0.009908
8,80,0.822919,0.006675
8,81,0.781454,0.010232
8,82,0.809905,0.009092
8,83,0.847153,0.007815
8,84,0.832893,0.008826
8,85,0.787588,0.009800
8,86,0.841697,0.018592
8,87,0.810944,0.015648
8,88,0.839625,0.009400
8,89,0.834456,0.017163
8,90,0.839952,0.011611
8,91,0.824965,0.016580
8,92,0.795309,0.020339
8,93,0.818936,0.017237
8,94,0.882502,0.007310
8,95,0.828214,0.018363
8,96,0.880450,0.016543
8,97,0.868461,0.020443
8,98,0.842366,0.006584
8,99,0.810343,0.008516
8,100,0.816357,0.017030
8,101,0.855822,0.018091
8,102,0.785281,0.018197
8,103,0.875218,0.015316
8,104,0.835412,0.014020
8,105,0.792349,0.009249
8,106,0.802409,0.009220
8,107,0.795478,0.018958
8,108,0.850417,0.009187
8,109,0.833622,0.006474
8,110,0.817846,0.017965
8,111,0.892246,0.015228
8,112,0.829791,0.008645
8,113,0.840106,0.008673
8,114,0.790372,0.018329
8,115,0.810492,0.008817
8,116,0.830625,0.007762
8,117,0.829442,0.016138
8,118,0.781408,0.009478
8,119,0.807770,0.007980
8,120,0.859249,0.015538
8,121,0.828190,0.015827
8,122,0.833740,0.017656
8,123,0.814025,0.008446
8,124,0.834715,0.007304
8,125,0.811244,0.008374
8,126,0.821667,0.015112
8,127,0.875322,0.010639
9,0,0.834581,0.015357
9,1,0.870422,0.016874
9,2,0.878428,0.006229
9,3,0.803120,0.016370
9,4,0.825847,0.020291
9,5,0.815176,0.017755
